long_fundid,double_gainaby,double_riskaby,long_hitcount
12011137,50.0,50.0,Null
12011140,50.0,50.0,Null
12010363,50.0,50.0,Null
12010368,50.0,50.0,Null
12010371,50.0,50.0,Null
12007671,50.0,50.0,Null
12007676,50.0,50.0,Null
12007666,50.0,50.0,Null
12007667,50.0,50.0,Null
12010360,50.0,50.0,Null
12007665,50.0,50.0,Null
12007663,50.0,50.0,Null
12010342,50.0,50.0,Null
12009795,50.0,50.0,Null
12010340,50.0,50.0,Null
12009790,50.0,50.0,Null
12010347,50.0,50.0,Null
12007659,50.0,50.0,Null
12007655,50.0,50.0,Null
12007656,50.0,50.0,Null
12010332,50.0,50.0,Null
12007654,50.0,50.0,Null
12007649,50.0,50.0,Null
12007645,50.0,50.0,Null
12010317,50.0,50.0,Null
12010301,50.0,50.0,Null
12007690,50.0,50.0,Null
12007695,50.0,50.0,Null
12007696,50.0,50.0,Null
12007697,50.0,50.0,Null
12007692,50.0,50.0,Null
12007694,50.0,50.0,Null
12008285,50.0,50.0,Null
12008282,50.0,50.0,Null
12008263,50.0,50.0,Null
12008264,50.0,50.0,Null
12008266,50.0,50.0,Null
12008261,50.0,50.0,Null
12008273,50.0,50.0,Null
12007624,50.0,50.0,Null
12010397,50.0,50.0,Null
12010395,50.0,50.0,Null
12007613,50.0,50.0,Null
12008226,50.0,50.0,Null
12008222,50.0,50.0,Null
12010376,50.0,50.0,Null
12008212,50.0,50.0,Null
12008214,50.0,50.0,Null
12008206,50.0,50.0,Null
12008208,50.0,50.0,Null
12009736,50.0,50.0,Null
12009743,50.0,50.0,Null
12009740,50.0,50.0,Null
12011003,50.0,50.0,Null
12011007,50.0,50.0,Null
12009723,50.0,50.0,Null
12011010,50.0,50.0,Null
12009732,50.0,50.0,Null
12009717,50.0,50.0,Null
12011817,50.0,50.0,Null
12011813,50.0,50.0,Null
12011812,50.0,50.0,Null
12011804,50.0,50.0,Null
12011805,50.0,50.0,Null
12011802,50.0,50.0,Null
12011801,50.0,50.0,Null
12009778,50.0,50.0,Null
12011836,50.0,50.0,Null
12009788,50.0,50.0,Null
12011830,50.0,50.0,Null
12011831,50.0,50.0,Null
12009769,50.0,50.0,Null
12011823,50.0,50.0,Null
12011825,50.0,50.0,Null
12011826,50.0,50.0,Null
12011055,50.0,50.0,Null
12009777,50.0,50.0,Null
12011058,50.0,50.0,Null
12009772,50.0,50.0,Null
12011059,50.0,50.0,Null
12011031,50.0,50.0,Null
12009760,50.0,50.0,Null
12011850,50.0,50.0,Null
12011026,50.0,50.0,Null
12011021,50.0,50.0,Null
12009765,50.0,50.0,Null
12011849,50.0,50.0,Null
12011844,50.0,50.0,Null
12011845,50.0,50.0,Null
12009750,50.0,50.0,Null
12011840,50.0,50.0,Null
12011841,50.0,50.0,Null
12009752,50.0,50.0,Null
12011767,50.0,50.0,Null
12010229,50.0,50.0,Null
12010220,50.0,50.0,Null
12011763,50.0,50.0,Null
12009674,50.0,50.0,Null
12011762,50.0,50.0,Null
12011779,50.0,50.0,Null
12011770,50.0,50.0,Null
12010212,50.0,50.0,Null
12009688,50.0,50.0,Null
12010213,50.0,50.0,Null
12011771,50.0,50.0,Null
12009686,50.0,50.0,Null
12009684,50.0,50.0,Null
12007765,50.0,50.0,Null
12007766,50.0,50.0,Null
12011748,50.0,50.0,Null
12010249,50.0,50.0,Null
12011746,50.0,50.0,Null
12011745,50.0,50.0,Null
12011744,50.0,50.0,Null
12010242,50.0,50.0,Null
12009696,50.0,50.0,Null
12010250,50.0,50.0,Null
12010238,50.0,50.0,Null
12011755,50.0,50.0,Null
12011757,50.0,50.0,Null
12011751,50.0,50.0,Null
12007793,50.0,50.0,Null
12011753,50.0,50.0,Null
12010233,50.0,50.0,Null
12011750,50.0,50.0,Null
12007797,50.0,50.0,Null
12011785,50.0,50.0,Null
12011780,50.0,50.0,Null
12010207,50.0,50.0,Null
12010205,50.0,50.0,Null
12011790,50.0,50.0,Null
12008139,50.0,50.0,Null
12008140,50.0,50.0,Null
12008147,50.0,50.0,Null
12008142,50.0,50.0,Null
12008150,50.0,50.0,Null
12008158,50.0,50.0,Null
12010296,50.0,50.0,Null
12007712,50.0,50.0,Null
12007718,50.0,50.0,Null
12008168,50.0,50.0,Null
12008170,50.0,50.0,Null
12008173,50.0,50.0,Null
12008174,50.0,50.0,Null
12008171,50.0,50.0,Null
12008177,50.0,50.0,Null
12008102,50.0,50.0,Null
12007740,50.0,50.0,Null
12008105,50.0,50.0,Null
12008104,50.0,50.0,Null
12007742,50.0,50.0,Null
12010264,50.0,50.0,Null
12010260,50.0,50.0,Null
12010258,50.0,50.0,Null
12008116,50.0,50.0,Null
12010253,50.0,50.0,Null
12010251,50.0,50.0,Null
12008117,50.0,50.0,Null
12010292,50.0,50.0,Null
12010294,50.0,50.0,Null
12010284,50.0,50.0,Null
12007761,50.0,50.0,Null
12007744,50.0,50.0,Null
12010282,50.0,50.0,Null
12008134,50.0,50.0,Null
12008133,50.0,50.0,Null
12030350,50.0,50.0,Null
12030351,50.0,50.0,Null
12029658,50.0,50.0,Null
12030309,50.0,50.0,Null
12030301,50.0,50.0,Null
12029649,50.0,50.0,Null
12028504,50.0,50.0,Null
12028512,50.0,50.0,Null
12028511,50.0,50.0,Null
12030323,50.0,50.0,Null
12029622,50.0,50.0,Null
12029625,50.0,50.0,Null
12030316,50.0,50.0,Null
12030318,50.0,50.0,Null
12030314,50.0,50.0,Null
12030311,50.0,50.0,Null
12030310,50.0,50.0,Null
12029630,50.0,50.0,Null
12033243,50.0,50.0,Null
12033246,50.0,50.0,Null
12033249,50.0,50.0,Null
12033251,50.0,50.0,Null
12034784,50.0,50.0,Null
12034783,50.0,50.0,Null
12033259,50.0,50.0,Null
12034735,50.0,50.0,Null
12034739,50.0,50.0,Null
12028584,50.0,50.0,Null
12034741,50.0,50.0,Null
12028597,50.0,50.0,Null
12028595,50.0,50.0,Null
12032624,50.0,50.0,Null
12028609,50.0,50.0,Null
12028608,50.0,50.0,Null
12028606,50.0,50.0,Null
12030376,50.0,50.0,Null
12030372,50.0,50.0,Null
12030387,50.0,50.0,Null
12030395,50.0,50.0,Null
12030392,50.0,50.0,Null
12029118,50.0,50.0,Null
12029124,50.0,50.0,Null
12029125,50.0,50.0,Null
12029129,50.0,50.0,Null
12029133,50.0,50.0,Null
12029130,50.0,50.0,Null
12029143,50.0,50.0,Null
12030400,50.0,50.0,Null
12029104,50.0,50.0,Null
12032583,50.0,50.0,Null
12032591,50.0,50.0,Null
12030422,50.0,50.0,Null
12030474,50.0,50.0,Null
